;word;availabality
0;atol;1
1;aren;1
2;acan;0
3;aemo;1
4;aesd;1
5;aere;1
6;atap;1
7;arpp;1
8;awlt;1
9;airt;1
10;anno;1
11;acni;1
12;azya;0
13;aren;1
14;alew;1
15;alan;1
16;allb;1
17;alip;0
18;atcs;0
19;acig;1
20;ahti;1
21;aega;1
22;acix;1
23;aeut;1
24;aetn;1
25;anol;1
26;ahga;0
27;adrg;1
28;alag;1
29;afac;1
30;aimi;1
31;aens;1
32;alet;1
33;apxi;1
34;arps;0
35;ahgr;1
36;arpu;0
37;acor;1
38;avem;1
39;aerg;1
40;aroi;1
41;affn;1
42;aeem;1
43;aeta;1
44;ahce;1
45;aeci;1
46;alpl;1
47;areb;1
48;arba;1
49;artn;0
50;anod;1
51;avrp;1
52;aguo;1
53;aruo;1
54;avia;1
55;atse;0
56;afev;1
57;abed;1
58;atni;1
59;aruq;1
60;arel;1
61;anam;0
62;ares;1
63;amee;1
64;alba;1
65;apev;1
66;awem;0
67;anac;1
68;apei;1
69;ataf;1
70;apro;1
71;atse;0
72;alol;1
73;acah;1
74;ahcs;1
75;arwo;1
76;acab;1
77;arun;1
78;ahan;1
79;arht;1
80;apsn;1
81;afee;1
82;arec;0
83;abat;0
84;aruq;1
85;acsn;1
86;arec;0
87;acsa;1
88;adec;1
89;aloi;1
90;areh;0
91;aflm;1
92;apmu;1
93;aeiv;1
94;alez;0
95;acia;0
96;awon;1
97;arev;1
98;atco;1
99;aede;1
